id,title,visible,approved,collection,tags,variants_count,images_count
6a2d7a93f5f63e26000f7c4c,BKS Glyph Cross™ Puffer,True,True,glyph,,10,7
6a2a5d8e9e369b8a080c1a54,BKS Hours Pane™ Lounge Pants,True,True,hours,,6,5
6a293e1abbf0294ff40c029d,BKS Flag Burst™ One-Piece Swimsuit,True,True,flag,,70,7
6a2581a31180303054016930,BKS Marker City™ Athletic Long Shorts,True,True,marker,,8,8
6a257de038707c982f106172,BKS Flag Drop™ Athletic Long Shorts,True,True,flag,,8,7
6a2570faad1d6c20330250fe,BKS Glyph Blueprint™ Athletic Long Shorts,True,True,glyph,,8,7
6a2544f48ca667581803f49b,BKS Hours Brocade™ Athletic Long Shorts,True,True,hours,,8,7
6a2541948ca667581803f253,BKS Glyph Hex™ Athletic Long Shorts,True,True,glyph,,8,7
6a253ec3ad1d6c2033022d6d,BKS Pulse Shard™ Athletic Long Shorts,True,True,pulse,,8,8
6a253c988ca667581803f022,BKS Folklore Bestiary™ Athletic Long Shorts,True,True,folklore,,8,7
6a25399f38707c982f103639,BKS Marker Frame™ Athletic Long Shorts,True,True,marker,,8,8
6a2467bc992522364109421f,BKS Token Block™ Cozy Slipper,True,True,token,,3,6
6a2466618ca6675818035c52,BKS Hours Drift™ Cozy Slipper,True,True,hours,,3,6
6a2454dd6ff905d8c70bbe60,BKS Flag Slate™ Flip Flop,True,True,flag,,4,16
6a24501411bd1b19ea0232e9,BKS Folklore Crowd™ Flip Flop,True,True,folklore,,4,16
6a244a1f8ca6675818034b8a,BKS Pulse Arrow™ Flip Flop,True,True,pulse,,4,16
6a1ed9a6bb4de366c9055250,Pulse Grid™ Travel Bag,True,True,pulse,"brand:bks,collection:pulse,series:optical,type:duffle,macro:man,macro:woman,status:active,print-type:aop,use-case:travel,bakabo-enriched,drop:catalog-reset-2026,curation:keep",1,8
6a1ddcd53dd1b31f700d50cf,BKS Folklore Bloom™ Sneakers,True,True,folklore,"brand:bks,collection:folklore,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,30
6a1dd048b4d76d22050a91aa,BKS Abyss™ Sneakers,True,True,folklore,"brand:bks,collection:folklore,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,20
6a1d9e468b2f35aed00e5e57,BKS Flag Soleil™ Sneakers,True,True,flag,"brand:bks,collection:flag,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,20
6a1d9bb9fc56adac9f0e95d6,BKS Riviera Cabana™ Sneakers,True,True,riviera,"brand:bks,collection:riviera,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,10
6a1d7cb66d9987e14104ab24,BKS Riviera Argyle™ Sneakers,True,True,riviera,"brand:bks,collection:riviera,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,10
6a1d799a291037b8c603e328,BKS Glyph Fracture™ Sneakers,True,True,glyph,"brand:bks,collection:glyph,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,11
6a19e9034525ffd5730f1447,BKS Token Mosaic™ Sneakers,True,True,token,"brand:bks,collection:token,type:shoes,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched",16,20
6a188a85c15d35b51100324f,BKS Resort Graphic One-Piece: Luxury-Inspired Geometric Beachwear,True,False,unknown,"one piece,women swimsuit,black white,retro swim,graphic swim,modest swim,pool party,beachwear,summer outfit,swimwear chic,vacation wear,gift for her,resort style,`chlorine-resistant swimwear`,`fade-resistant swimsuit`,`quick-dry swimwear`,`elastic-lined one-piece swimsuit`,BakAbo One-Piece Swimsuit,bakabo.club,BKS",70,5
6a16e936179aa841ea0c919d,Duffel Bag,True,False,unknown,"Accessories,Bags,All Over Print,AOP,Duffle,Assembled in the USA,Made in USA,Assembled in USA,Made in the USA",2,7
6a16429cd4fccb2f800a3fb6,BKS Token Maze™ Athletic Long Shorts,True,True,token,,8,7
6a15ee90197a0f28d90f0304,Pastel Carousel Horse Duffel Bag – Cute Kids Travel & Gym Bag,False,False,unknown,"duffel bag,travel duffel,cute duffel,pastel duffel,carousel bag,kids duffel,gym duffel,roller coaster,travel carryon,soft pastel bag,vacation duffel,childrens bag,whimsical duffel",2,8
6a15a69056ded98cbb02c912,BKS Riviera Weave™ Athletic Long Shorts,True,True,riviera,,8,8
6a137d3c4d922bbffe0637e3,BKS Textured Geo Women's Cut & Sew Tee — Neutral All-Over Print,True,False,unknown,"women tee,cut sew tee,all over print,neutral tee,minimal shirt,women casual,everyday tee,soft texture,subtle pattern,summer top,lightweight tee,gift for her,mom gift tee,BakAbo Cut & Sew Tee,bakabo.club,BKS,BKS Neo Classic Collection,Neo Classic,BakAbo Women's Cut & Sew Tee",24,7
6a1378caf930b50771105ed0,Women's Wave-Pattern Cut & Sew Tee — BKS Logo,True,False,unknown,"women tee,cut sew tee,black wave tee,fitted t shirt,all over print,casual womens,everyday tee,athleisure top,minimalist tee,streetwear top,gift for her,small business,birthday gift,BakAbo Cut & Sew Tee,bakabo.club,BKS,BKS Neo Classic Collection,Neo Classic",24,6
6a1377d078784eaa2706a1e1,Women's Geo Grid Tee — Neutral Pixel Check Pattern,False,False,unknown,,24,6
6a13337601e2f9024705508b,Women’s Black Washed Stripe Tee — ‘BKS’ Minimal Logo,False,False,unknown,,24,6
6a132b749dddfd0ff10747bc,Beige Grid Women's Tee — 'BKS' Minimal Graphic Cut & Sew T‑Shirt,False,False,unknown,,24,6
6a1329634d922bbffe0606ba,Women's Grid Ringer Tee - BKS Logo,False,False,unknown,,24,6
6a1319cf9f95ec33cf0307dd,Women's Grid Tee — Minimalist BKS Check Pattern AOP,False,False,unknown,,24,4
6a1060eaebc1f93268028718,BKS Digital Citizens™ - Low Top Sneakers,True,True,unknown,"bks-token,sneakers,low-top,placement-print,made-to-order,black,blue,arcade",16,10
6a0a3e67d424404741015461,BKS Pulse Grid™ Lounge Pants,True,True,pulse,"brand:bks,collection:pulse,series:optical,macro:woman,print-type:aop,type:lounge-pants,use-case:loungewear,status:active,curation:keep,drop:catalog-reset-2026,bakabo-enriched",6,5
6a0a3591eeb1cc67a708362c,BKS Marker Flow™ Lounge Pants,True,True,marker,,6,5
6a04b818b796133c9d07a209,Goldfish Pattern Swim Trunks — Red All-Over-Print Men's Swim Shorts,False,False,unknown,,7,6
6a03710004f95d0172067ecc,BKS Glyph Code™ One-Piece Swimsuit,True,True,glyph,"brand:bks,collection:glyph,series:brut,macro:woman,print-type:aop,type:swimwear,use-case:beachwear,status:active,curation:keep,drop:catalog-reset-2026,bakabo-enriched",70,4
6a01b75ed9dc047a4a09876f,Waterproof Duffle Bag – Black & Forest Green Speckled Travel Weekender,False,False,unknown,"travel bag,waterproof bag,duffel bag,weekend travel,carry on bag,gym travel bag,green black bag,snow print bag,outdoor travel,mens travel bag,women travel bag,vacation duffel,airport friendly,BKS,bakabo.club,BakAbo Waterproof travel bag",1,9
6a01b4be12a8bcf66d00252f,Starry Contrast Waterproof Travel Duffle Bag,False,False,unknown,"travel bag,weekend bag,duffel bag,waterproof bag,black white bag,carry on bag,gym travel bag,leather trim bag,snowflake print,travel accessory,vacation duffel,airport bag,unisex travel,BakAbo Waterproof travel bag,BKS,bakabo.club",1,8
6a01b3731b13a78a40085021,Speckled Two-Tone Waterproof Travel Duffle Bag — Black & Rose Weekend Bag,False,False,unknown,"waterproof bag,travel duffel,weekend bag,airport bag,carry on bag,travel accessory,packing bag,water resistant,travel tote,gym travel bag,vacation duffel,weekender bag,boat travel bag,BakAbo Waterproof travel bag,BKS,bakabo.club",1,9
6a01b20bb4d5e9221a0ca292,"Aqua & Noir Splatter Waterproof Travel Bag — Durable Weekend Duffle for Beach, Gym & Getaways",False,False,unknown,,1,9
6a01a28012a8bcf66d000fb8,Waterproof Travel Bag — Retro Abstract Circle Pattern Duffle,False,False,unknown,"waterproof bag,travel duffel,weekend bag,boho travel,retro circles,colorful duffel,carry on bag,vacation tote,gift for traveler,airport bag,gift for her,bohemian bag,patterned bag,BakAbo Waterproof travel bag,bakabo.club,BKS",1,9
6a00f1104ba2ff981a031032,BKS Folklore Totem™ Swim Trunks,True,True,folklore,"brand:bks,collection:folklore,series:folklore,macro:man,type:swimwear,aop,drop:catalog-reset-2026,status:active,curation:keep",7,6
6a00ebec146ee39d4b0cfc53,Bird Pinstripe Swim Trunks — Blue All-Over-Print Beach Shorts,False,False,unknown,"swim trunks,mens swim,navy swim,striped trunks,tropical swim,beach swim,pool shorts,summer trunks,casual swim,resort wear,vacation shorts,gift for him,fishing trunks,BKS,bakabo.club,BakAbo swim trunks",7,6
6a00e532146ee39d4b0cf90e,Men's Striped Multicolor Swim Trunks — Retro Beach Shorts,False,False,unknown,,7,7
69fe6d164ba2ff981a018551,BKS Marker Brush™ Windbreaker Jacket,True,True,marker,"brand:bks,collection:marker,series:neo-expressionism,type:windbreaker,macro:man,macro:woman,status:active,print-type:aop,use-case:streetwear,bakabo-enriched,drop:catalog-reset-2026,curation:keep",6,10
69fe661eb639fab5c10826b5,KS Token Shield™ Windbreaker Jacket,True,True,token,,6,10
69fdfea3f9b3c9205f0f9e92,Retro Geo Pattern Windbreaker Jacket,False,False,unknown,,6,9
69f9fb6337dd0469c1045c39,Puffer Jacket — Retro Orange Speckle All-Over Print,False,False,unknown,,10,8
69f9eff8af1e4497af013d41,BKS Marker Stave™ Puffer,True,True,marker,,10,7
69f9eb14ff7605cf080a269f,Men's Puffer Jacket — Cool Blue Geometric Plaid All-Over Print,False,False,unknown,"mens jacket,puffer jacket,blue plaid,casual outer,winter jacket,everyday wear,cold weather,lightweight coat,urban style,gift for him,holiday gift,travel jacket,layering coat,BKS,BakAbo Puffer jacket,bakabo.club",10,7
69f9cc09af1e4497af01246a,BKS Folklore Effigy™ Puffer,True,True,folklore,,10,7
69f9cba944aadacf110ba79f,Abstract Cityscape Puffer Jacket,False,False,unknown,,10,8
69f9b4b7db5852ba44001dab,Abstract Cityscape Puffer Jacket — Men's Artistic Urban Winter Coat,False,False,unknown,,10,8
69f8f69bbe136844f000783b,Men's Retro Stripe Hawaiian Shirt — Red Teal Camp-Collar Aloha,True,False,unknown,"men's shirt,hawaiian shirt,resort wear,tropical shirt,button up,vacation top,summer shirt,casual shirt,striped shirt,retro shirt,beach outfit,island shirt,luau shirt,BakAbo Hawaiian Shirt,BKS,bakabo.club",16,8
69f8b742ad402ce2b4033c44,Navy Palm Stripe Hawaiian Shirt — Tropical Retro Aloha Button-Up,True,False,unknown,"mens aloha,navy hawaiian,resort shirt,vacation top,tropical shirt,summer aloha,casual button,beach outfit,island wear,party shirt,holiday top,cruise wear,poolside tee,BakAbo Hawaiian Shirt,BKS,bakabo.club",16,8
69f8b680adcc49d563068a16,BKS Folklore Pelican™ Hawaiian Shirt,True,True,folklore,"brand:bks,collection:folklore,series:naif,macro:man,print-type:aop,type:hawaiian-shirt,use-case:resort,status:active,curation:keep,drop:catalog-reset-2026,bakabo-enriched",16,7
69f69a87606067cce40f778e,BKS Riviera Tile™ Swim Trunks,True,True,riviera,"brand:bks,collection:riviera,series:islands,macro:man,type:swimwear,aop,drop:catalog-reset-2026,status:active,curation:keep",7,6
69f6801ce1b7b9b0b008c622,Orange Tropical Fish Swim Trunks – All-Over Print Beach Shorts,False,False,unknown,,7,7
69f67e2e15b42c15280c7a05,BKS Flag Patch™ Swim Trunks,True,True,flag,"brand:bks,collection:flag,series:neo-dada,macro:man,type:swimwear,aop,drop:catalog-reset-2026,status:active,curation:keep",7,6
69f660079110dda910061121,BKS Hours Walker™ Swim Trunks,True,True,hours,"brand:bks,collection:hours,series:hyperrealism,macro:man,type:swimwear,placement-front,drop:catalog-reset-2026,status:active,curation:keep",7,6
69f5f087758757bfa3041449,BKS Sprawl™ Puffer,True,True,unknown,,10,7
69f5eded1cc4ed38fb0b78d5,Green Geo-Block Puffer Jacket,False,False,unknown,"men jacket,puffer jacket,green puffer,men outerwear,geometric jacket,everyday jacket,winter jacket,casual jacket,streetwear men,gift for him,holiday jacket,cold weather,modern puffer,BKS,bakabo.club,BakAbo Puffer jacket",10,8
69f5e23ae1b7b9b0b0086383,BKS Orbit™ Puffer,True,True,unknown,,10,7
