Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,BKS Collection (product.metafields.bks.collection),BKS Design (product.metafields.bks.design),BKS Drop (product.metafields.bks.drop),BKS Series (product.metafields.bks.series),Google Product Category (product.metafields.custom.google_product_category),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Boot style (product.metafields.shopify.boot-style),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Luggage/Bag closure (product.metafields.shopify.luggage-bag-closure),Neckline (product.metafields.shopify.neckline),Occasion style (product.metafields.shopify.occasion-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Sandal style (product.metafields.shopify.sandal-style),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Slipper style (product.metafields.shopify.slipper-style),Sneaker style (product.metafields.shopify.sneaker-style),Swimwear features (product.metafields.shopify.swimwear-features),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Italy,Price / Italy,Compare At Price / Italy,Included / Corea del Sud,Price / Corea del Sud,Compare At Price / Corea del Sud,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
bks-hours-pane™-lounge-pants,BKS Hours Pane™ Lounge Pants,"<p><em>Wide-leg lounge pant in an irregular grid — pale blue and nude blocks divided by fine black lines, a city map seen from above.</em></p>
<p>Relaxed wide-leg silhouette in lightweight polyester jersey. The all-over print is built on an irregular geometric grid — varying rectangles in muted sky blue, blush and warm grey, separated by a network of fine black lines. Contained, architectural, quiet. From the BKS Hours series, generated through an AI-driven process and curated by the studio. Flat black drawstring and elastic back waist for a customizable fit.</p>
<ul>
<li>· Material: 100% polyester jersey, 6 oz/yd²</li>
<li>· Fit: Relaxed wide-leg — adjustable back elastic + flat drawstring</li>
<li>· Print: All-over digital print, edge-to-edge, sewn-in care label</li>
<li>· Construction: Double-needle stitching on all seams; white seam thread detail; assembled in the USA from global parts</li>
<li>· Care: Machine wash cold (max 30°C / 90°F) — tumble dry low — do not bleach — do not iron — do not dry-clean</li>
</ul>
<table>
<thead>
<tr>
<th>Size</th>
<th>Bust (cm)</th>
<th>Waist (cm)</th>
<th>Hips (cm)</th>
<th>Length (cm)</th>
</tr>
</thead>
<tbody>
<tr>
<td>XS</td>
<td>82</td>
<td>64</td>
<td>88</td>
<td>88</td>
</tr>
<tr>
<td>S</td>
<td>86</td>
<td>68</td>
<td>92</td>
<td>89</td>
</tr>
<tr>
<td>M</td>
<td>90</td>
<td>72</td>
<td>96</td>
<td>90</td>
</tr>
<tr>
<td>L</td>
<td>96</td>
<td>78</td>
<td>102</td>
<td>91</td>
</tr>
<tr>
<td>XL</td>
<td>102</td>
<td>84</td>
<td>108</td>
<td>92</td>
</tr>
</tbody>
</table>
<p><em>Made to order. Each piece is printed and assembled for you after purchase. Allow 7–10 business days for production before shipping.</em></p>
<ul>
<li>↩ 30-Day Returns, hassle-free</li>
<li>✦ Printed on demand, never overstocked</li>
<li>✓ 2-Year EU Warranty</li>
</ul>
<p style=""font-size: 0.8em; color: #888;"">EU Representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com — 3 Gnaftis House flat 102, Limassol, Mesa Geitonia 4003, CY. Generic brand. 2-year warranty in EU and Northern Ireland per Directive 2019/771.</p>",Printify,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Pajamas,All Over Prints,"bakabo-enriched, curation:keep, use-case:loungewear, made-to-order, ai-art, brand:bks, collection:hours, series:hyperrealism, type:lounge-pants, drop:catalog-reset-2026, status:active, print-type:aop, macro:woman",true,Size,XS,,Color,White stitching,,,,,84537168086275078487,100.0,shopify,deny,manual,65.28,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,1,BKS Hours Pane Lounge Pants - BKS Hours Lounge Pants,false,BKS Hours Pane Lounge Pants | BKS Studio,"AI-generated all-over print lounge pants from BKS Hours. Made to order, edge-to-edge printed and curated by BKS Studio at bakabo.club.",2580,female,adult,,new,TRUE,no-gtin,Lounge Pants,,,,Hours,Pane,catalog-reset-2026,hyperrealism,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Loungewear Bottoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,32.64,true,,,true,,,true,,,true,,,active
bks-hours-pane™-lounge-pants,,,,,,,,,S,,,White stitching,,,,,35916891640035471763,100.0,shopify,deny,manual,67.32,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/7543745183000620928_2048.jpg?v=1781161724,2,BKS Hours Pane™ Lounge Pants Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,33.66,,,,,,,,,,,,,
bks-hours-pane™-lounge-pants,,,,,,,,,M,,,White stitching,,,,,33464736938053829197,100.0,shopify,deny,manual,69.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5722706293376178390_2048.jpg?v=1781161724,3,BKS Hours Pane™ Lounge Pants Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,34.91,,,,,,,,,,,,,
bks-hours-pane™-lounge-pants,,,,,,,,,L,,,White stitching,,,,,18540180702654144059,100.0,shopify,deny,manual,77.62,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/3870735193500742574_2048.jpg?v=1781161726,4,BKS Hours Pane™ Lounge Pants Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,38.81,,,,,,,,,,,,,
bks-hours-pane™-lounge-pants,,,,,,,,,XL,,,White stitching,,,,,63229933235589848682,100.0,shopify,deny,manual,81.84,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/2712144323568077422_2048.jpg?v=1781161726,5,BKS Hours Pane™ Lounge Pants Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,40.92,,,,,,,,,,,,,
bks-hours-pane™-lounge-pants,,,,,,,,,2XL,,,White stitching,,,,,21407802703351832953,100.0,shopify,deny,manual,89.82,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/5067156890146626053_2048.jpg?v=1781161723,kg,,44.91,,,,,,,,,,,,,
bks-flag-burst™-one-piece-swimsuit,BKS Flag Burst™ One-Piece Swimsuit,"<p><em>One-piece swimsuit in a tricolour geometric field — gold rays, red and black blocks at full scale.</em></p>
<p>Racer-back silhouette carrying a full all-over print from the BKS Flag collection. The pattern is built on an AI-driven neo-dada process: a radial burst of sand-gold planes interrupted by sharp red and black polygons — three colours, maximum tension, no decoration. Structural and declarative, edge-to-edge.</p>
<ul>
<li>· Material: Quick-dry recycled polyester</li>
<li>· Fit: Regular — true to size</li>
<li>· Print: All-over digital print, edge-to-edge</li>
<li>· Care: Rinse in fresh water after use. Hang dry. Do not machine wash.</li>
</ul>
<p><em>Made to order. Each piece is printed and assembled for you after purchase. Allow 7–10 business days for production before shipping.</em></p>
<ul>
<li>↩ 30-Day Returns, hassle-free</li>
<li>✦ Printed on demand, never overstocked</li>
<li>✓ 2-Year EU Warranty</li>
</ul>",Printify,Apparel & Accessories > Clothing > Swimwear > One-Piece Swimsuits,All Over Prints,"made-to-order, ai-art, bakabo-enriched, brand:bks, collection:flag, series:neo-dada, type:one-piece-swimsuit, drop:catalog-reset-2026, status:active, print-type:aop, macro:woman",true,Size,XS,,Color,Black,,,,,11066681579436421518,100.0,shopify,deny,manual,34.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610103852-1f164b89-2feb-66ca-a21f-7a3efb8e09fd.png?v=1781121237,1,BKS Flag Burst One-Piece Swimsuit - BKS Flag One-Piece Swimsuit,false,BKS Flag Burst One-Piece Swimsuit | BKS Studio,"AI-generated all-over print one-piece swimsuit from BKS Flag. Made to order, edge-to-edge printed and curated by BKS Studio at bakabo.club.",211,female,adult,,new,TRUE,no-gtin,One-Piece Swimsuit,,,,Flag,Burst,catalog-reset-2026,neo-dada,Apparel & Accessories > Clothing > Swimwear > One-Piece Swimsuits,,,,,adults,,,,,,,,,,geometric,,,polyester,,,,,,,,,,,,,,m; l; xl; 2xl; 3xl; s; xs,,sleeveless,,,quick-drying,female,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610190054-1f164feb-5167-66f8-a62a-6a94e8f1f7d8.png?v=1781121230,kg,,20.93,true,,,true,,,true,,,true,,,active
bks-flag-burst™-one-piece-swimsuit,,,,,,,,,S,,,Black,,,,,12489929455632416626,100.0,shopify,deny,manual,34.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610103842-1f164b88-d0ba-6af2-8fd4-c2d16fd66afd.png?v=1781121239,2,BKS Flag Burst™ One-Piece Swimsuit Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610190054-1f164feb-5167-66f8-a62a-6a94e8f1f7d8.png?v=1781121230,kg,,20.93,,,,,,,,,,,,,
bks-flag-burst™-one-piece-swimsuit,,,,,,,,,M,,,Black,,,,,12832812273163660861,100.0,shopify,deny,manual,34.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610190054-1f164feb-5167-66f8-a62a-6a94e8f1f7d8.png?v=1781121230,3,BKS Flag Burst™ One-Piece Swimsuit Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610190054-1f164feb-5167-66f8-a62a-6a94e8f1f7d8.png?v=1781121230,kg,,20.93,,,,,,,,,,,,,
bks-flag-burst™-one-piece-swimsuit,,,,,,,,,L,,,Black,,,,,24634281744889091634,100.0,shopify,deny,manual,34.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610191924-1f165014-a809-6168-85d0-eecbbcceeae9.png?v=1781121230,4,BKS Flag Burst™ One-Piece Swimsuit Printify BKS Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/8758/0242/files/20260610190054-1f164feb-5167-66f8-a62a-6a94e8f1f7d8.png?v=1781121230,kg,,20.93,,,,,,,,,,,,,
